INFO  - 2014-11-29 19:38:10.258; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8541 (1486166362955972608)]} 0 0
INFO  - 2014-11-29 19:38:10.263; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8542 (1486166362960166912)]} 0 1
INFO  - 2014-11-29 19:38:10.268; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8543 (1486166362965409792)]} 0 1
INFO  - 2014-11-29 19:38:10.270; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8544 (1486166362968555520)]} 0 0
INFO  - 2014-11-29 19:38:10.273; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8545 (1486166362971701248)]} 0 0
INFO  - 2014-11-29 19:38:10.276; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8546 (1486166362974846976)]} 0 0
INFO  - 2014-11-29 19:38:10.282; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8547 (1486166362980089856)]} 0 1
INFO  - 2014-11-29 19:38:10.284; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8548 (1486166362983235584)]} 0 0
INFO  - 2014-11-29 19:38:10.287; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8549 (1486166362986381312)]} 0 0
INFO  - 2014-11-29 19:38:10.290; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[855 (1486166362989527040)]} 0 0
INFO  - 2014-11-29 19:38:10.293; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8550 (1486166362992672768)]} 0 0
INFO  - 2014-11-29 19:38:10.297; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8551 (1486166362996867072)]} 0 0
INFO  - 2014-11-29 19:38:10.303; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8552 (1486166363003158528)]} 0 0
INFO  - 2014-11-29 19:38:10.306; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8553 (1486166363006304256)]} 0 0
INFO  - 2014-11-29 19:38:10.308; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8554 (1486166363008401408)]} 0 0
INFO  - 2014-11-29 19:38:10.311; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8555 (1486166363011547136)]} 0 0
INFO  - 2014-11-29 19:38:10.315; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8556 (1486166363015741440)]} 0 0
INFO  - 2014-11-29 19:38:10.319; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8557 (1486166363018887168)]} 0 1
INFO  - 2014-11-29 19:38:10.321; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8558 (1486166363022032896)]} 0 0
INFO  - 2014-11-29 19:38:10.324; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8559 (1486166363025178624)]} 0 0
INFO  - 2014-11-29 19:38:10.328; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[856 (1486166363029372928)]} 0 0
